X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS
145.056960255824606,-37.883920038461341,44775,44459,46298,PRINCES HWY W OF DARLING RD,INTERSECTION,Left Missing,PRINCES HWY/DARLING RD/KOORNANG RD,2510,PRINCES HIGHWAY EAST,DANDENONG ROAD,SCATS,Scats,Less than 2 Years,0,2016,38000,0,0
144.347023904362317,-38.131724979584675,44776,44958,38545,MIDLAND HWY EA of WEDDELL ROAD,INTERSECTION,All Moves,MIDLAND HWY & RAVEN ST & WEDDELL ROAD,2590,MIDLAND HIGHWAY,CHURCH STREET,TMVMT,Manual,Greater than 10 Years,29,1987,9500,410,0.04
145.277105083710012,-37.990265982185903,44777,44862,40522,BELGRAVE HALLAM RO NE OF HALLAM NORTH ROAD,INTERSECTION,All Moves,BELGRAVE HALLAM RO & HALLAM NORTH ROAD,9999,Missing Data,BELGRAVE-HALLAM ROAD,TMVMT,Manual,Greater than 10 Years,17,1999,5100,0,0
142.83349450031011,-34.701983279403493,44778,44567,55241,HATTAH-ROBINVALE RD W BD BTW ROBINVALE-SEA LAKE RD & MURRAY VALLEY HWY,MIDBLOCK,All Moves,HATTAH-ROBINVALE RD BTW ROBINVALE-SEA LAKE RD & MURRAY VALLEY HWY,5176,HATTAH-ROBINVALE ROAD,HATTAH-ROBINVALE ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,70,10,0.16
144.826880365492826,-37.822986624990001,44779,44068,45931,PRINCES HWY SW OF GRIEVE PDE,INTERSECTION,All Moves,PRINCES HWY/GRIEVE PDE,2500,PRINCES HIGHWAY WEST,GEELONG ROAD,SCATS,Scats,Between 2 and 5 Years,3,2013,27000,0,0
144.847906032817292,-37.810209396850148,44780,44166,38613,MCDONALD RD S BD S of SOMERVILLE RD,INTERSECTION,All Moves,SOMERVILLE RD E OF MCDONALD RD,5142,MCDONALD ROAD,MCDONALD ROAD,TMVMT,Manual,Greater than 10 Years,18,1998,6300,1200,0.2
144.976899702840768,-37.746207884982198,44781,44460,48121,HARDING ST E OF NICHOLSON ST,INTERSECTION,All Moves,NICHOLSON ST/HARDING ST,9999,Missing Data,HARDING STREET,SCATS,Scats,Between 2 and 5 Years,5,2011,590,0,0
145.311635205187713,-37.996546332238744,44782,44959,40034,ERNST WANKE RD W OF NARRE WARREN NORTH RD,INTERSECTION,All Moves,ERNST WANKE RD & NARRE WARREN NORTH RD,9999,Missing Data,ERNST WANKE ROAD,TMVMT,Manual,Greater than 10 Years,18,1998,1800,120,0.07
145.023270822520601,-37.724869759158821,44783,44863,39236,BOLDREWOOD PDE NWBD NW OF PLENTY RD,INTERSECTION,All Moves,PLENTY RD NNE OF ALBERT RD,5737,BROADWAY,BOLDREWOOD PARADE,TMVMT,Manual,Greater than 10 Years,18,1998,10000,740,0.07
142.849466670418195,-35.472316383064332,44784,44568,53174,SEA LAKE-ROBINVALE RD S BD 400M N OF CALDER HWY @ 3.6KM POST,MIDBLOCK,All Moves,SEA LAKE-ROBINVALE RD 400M N OF CALDER HWY @ 3.6KM POST,5321,ROBINVALE-SEA LAKE ROAD,ROBINVALE-SEA LAKE ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,50,10,0.25
144.960141393131096,-37.701209298471056,44785,44069,41864,SYDNEY RD S OF JUKES RD,INTERSECTION,All Moves,SYDNEY RD/JUKES RD,5500,COBURG-CRAIGIEBURN ROAD,SYDNEY ROAD,SCATS,Scats,Greater than 10 Years,23,1993,27000,0,0
